"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.433648549806125,0.433513027409393,0.435605235279589,18155.4,0.95,0.354060746582766,0.517063150027974,0.5,5.29,NA,NA,NA,NA,NA
"kappa",22.3894220599006,19.950481474171,15.303702531377,15274,0.95,5.6094983455635,44.9085884314852,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.324663799094228,0.325485742849279,0.343232632864665,18026.7,0.95,0.13949800542543,0.504315977955623,0.5,2.96,NA,NA,NA,NA,NA
"theta[2]",0.359148697678961,0.359172306537493,0.368192556005068,19084,0.95,0.18024125432072,0.541403908152813,0.5,6.375,NA,NA,NA,NA,NA
"theta[3]",0.39237935966538,0.391770295933167,0.391197208620461,19023,0.95,0.211877443656293,0.573634774910399,0.5,12.175,NA,NA,NA,NA,NA
"theta[4]",0.393267142091258,0.392895543538729,0.386394036941495,20000,0.95,0.212662549024644,0.575318950223372,0.5,12.23,NA,NA,NA,NA,NA
"theta[5]",0.394015837297577,0.393483919937033,0.387788377941284,20181.6,0.95,0.211003151212271,0.570442842535996,0.5,12.695,NA,NA,NA,NA,NA
"theta[6]",0.393207747459773,0.393024212515329,0.390727089497182,20000,0.95,0.212160089478537,0.576460271354484,0.5,12.435,NA,NA,NA,NA,NA
"theta[7]",0.392862279829879,0.39237189165875,0.396241191384177,18957.4,0.95,0.213874730846115,0.572399609667161,0.5,12.305,NA,NA,NA,NA,NA
"theta[8]",0.39344892623738,0.392805870194899,0.379146314052406,20000,0.95,0.215137074339381,0.573349210185305,0.5,12.37,NA,NA,NA,NA,NA
"theta[9]",0.392856696157622,0.392672929964505,0.39823751457011,20000,0.95,0.214070188484687,0.574388808539233,0.5,12.24,NA,NA,NA,NA,NA
"theta[10]",0.392855076070072,0.392472032747443,0.398689891457257,20000,0.95,0.211902337843539,0.574802015339927,0.5,12.535,NA,NA,NA,NA,NA
"theta[11]",0.426532290433837,0.425657045584536,0.426033167467677,20000,0.95,0.247845721116394,0.611033586942856,0.5,21.235,NA,NA,NA,NA,NA
"theta[12]",0.427190398585548,0.425767133560033,0.420390128092872,20000,0.95,0.244351167901798,0.606230797664174,0.5,21.68,NA,NA,NA,NA,NA
"theta[13]",0.42697167041719,0.424864034460719,0.417980284493929,20000,0.95,0.249747758572624,0.613732566910096,0.5,21.515,NA,NA,NA,NA,NA
"theta[14]",0.427050474699249,0.425361108661919,0.415321686078489,20000,0.95,0.24110355153092,0.610115482912778,0.5,21.535,NA,NA,NA,NA,NA
"theta[15]",0.428273750052801,0.426984606892988,0.425402296053901,20000,0.95,0.245548760759122,0.608223458254218,0.5,22.13,NA,NA,NA,NA,NA
"theta[16]",0.461606529764694,0.459105217844501,0.450543828751207,19528.9,0.95,0.284892350882729,0.651107261520767,0.5,33.68,NA,NA,NA,NA,NA
"theta[17]",0.462122770921255,0.460639392602322,0.458751732900659,19523.4,0.95,0.278919146224983,0.646940696424224,0.5,33.855,NA,NA,NA,NA,NA
"theta[18]",0.461540471854706,0.4606983953222,0.461606475169867,19302.3,0.95,0.274319485383217,0.640807294686047,0.5,33.96,NA,NA,NA,NA,NA
"theta[19]",0.460883791695062,0.459060553849566,0.465209295525392,20000,0.95,0.27883534903208,0.644488749582044,0.5,32.84,NA,NA,NA,NA,NA
"theta[20]",0.461207348516572,0.459576384673052,0.437687571209384,20000,0.95,0.281191503319971,0.64780691570627,0.5,33.405,NA,NA,NA,NA,NA
"theta[21]",0.461061450842328,0.460075040589489,0.46212742436766,20437.4,0.95,0.272240915556873,0.637592096220707,0.5,33.435,NA,NA,NA,NA,NA
"theta[22]",0.460563492661476,0.459240432233511,0.461921803054296,20000,0.95,0.27779853745969,0.63971858489212,0.5,33.61,NA,NA,NA,NA,NA
"theta[23]",0.495710470203046,0.494115628983575,0.488489087548302,19550.8,0.95,0.302237100060736,0.677334028240933,0.5,47.47,NA,NA,NA,NA,NA
"theta[24]",0.495541572782838,0.493941114042868,0.48361551118906,20000,0.95,0.308015174286757,0.683153477605344,0.5,47.405,NA,NA,NA,NA,NA
"theta[25]",0.529626931477438,0.526039779503401,0.514108221547038,19459.9,0.95,0.340239301292006,0.721829892251415,0.5,60.755,NA,NA,NA,NA,NA
"theta[26]",0.530315275946154,0.527202272616597,0.505858812938076,20000,0.95,0.335520788038233,0.717437543859235,0.5,60.73,NA,NA,NA,NA,NA
"theta[27]",0.528573567930641,0.525987006571251,0.507145482038083,19208.2,0.95,0.347436897473796,0.72695141482147,0.5,60.305,NA,NA,NA,NA,NA
"theta[28]",0.56402771081371,0.560389007689332,0.551108911389198,18722.5,0.95,0.371367571376691,0.75770989177889,0.5,73.52,NA,NA,NA,NA,NA
"theta[1]-theta[14]",-0.102386675605021,-0.0981619303619905,-0.0945303058534008,19390.2,0.95,-0.353806664178626,0.145975090602738,0,21.1,NA,NA,NA,NA,NA
"theta[1]-theta[28]",-0.239363911719482,-0.232566714370253,-0.20477839477449,18320.3,0.95,-0.525199333286851,0.0212587015523932,0,3.48,NA,NA,NA,NA,NA
"theta[14]-theta[28]",-0.136977236114461,-0.133402810413026,-0.138929699318133,20000,0.95,-0.395541454029386,0.124417217652742,0,14.625,NA,NA,NA,NA,NA
